,mae_list,mse_list,rmse_list,mean_mae,std_mae,mean_mse,std_mse,mean_rmse,std_rmse
"(1.5,10,400)","[3.6735858630761364, 3.760121253784177, 3.458432996585818, 3.7095398470797445, 3.5267137633597434]","[16.698873436101092, 17.238434680161568, 14.824334171523892, 16.97693034090284, 15.624496853023166]","[4.086425508448807, 4.151919397117624, 3.850238196725482, 4.1203070687635455, 3.9527834310803276]",3.6257,0.1142,16.2726,0.9086,4.0323,0.1135
"(1.5,20,50)","[2.283617682454986, 2.348845706900116, 2.6643402671184906, 2.5847206162963543, 2.4953578161167003]","[6.779148918409182, 6.813439468982429, 8.802735483179136, 8.416483237232573, 7.6784704621277635]","[2.6036798801713665, 2.6102565906405504, 2.9669404246090174, 2.9011175841789956, 2.771005316149315]",2.4754,0.142,7.6981,0.8202,2.7706,0.1478
"(1.5,20,150)","[3.349085117360251, 3.403688799211831, 3.617406649347404, 3.3576199810849046, 3.375526458035879]","[13.951533608692392, 14.52907242541021, 16.112423444075795, 14.30557960755992, 14.247546804052186]","[3.7351751777784656, 3.8117020378579185, 4.014028331249768, 3.7822717522092355, 3.774592269908392]",3.4207,0.1001,14.6292,0.7641,3.8236,0.0983
"(1.5,20,200)","[3.3127256515222836, 3.331186100448339, 3.3070172138255556, 3.3061297132519214, 3.3887314911446227]","[14.18684613461608, 14.435667083482207, 13.92519329172287, 13.818245734231805, 14.115994089064566]","[3.766542995190162, 3.799429836631045, 3.731647530478042, 3.717290106277933, 3.757125774986055]",3.3292,0.0311,14.0964,0.2146,3.7544,0.0286
"(1.5,20,400)","[3.519889571470058, 3.612875580854143, 3.4250018881284254, 3.4629304107856558, 3.416447941499651]","[15.52418122111826, 16.2095688235659, 14.892047714546596, 15.08072767982746, 14.554695659584116]","[3.9400737583347674, 4.026110880684472, 3.859021600684116, 3.883391260203826, 3.8150616848989634]",3.4874,0.0726,15.2522,0.572,3.9047,0.0729
"(1.5,50,50)","[3.01683528398985, 2.7138549666864638, 2.732571954421575, 2.601420539044963, 2.5589647119919383]","[11.109707772637018, 9.569437708938311, 10.002745621104783, 8.957180958175886, 8.580838169951058]","[3.3331228259152135, 3.0934507768733464, 3.1627117511883345, 2.9928549844882038, 2.9293067729329847]",2.7247,0.1601,9.644,0.8814,3.1023,0.1406
"(1.5,50,150)","[3.4838815302971247, 3.3042749791307418, 3.4789905901702687, 3.336027954187378, 3.301503999172558]","[15.636975147291025, 14.076168197114166, 15.046762608637355, 14.639545663468773, 13.791135646817013]","[3.9543615347222647, 3.751821983665292, 3.879015675224496, 3.8261659221038458, 3.713641830712409]",3.3809,0.083,14.6381,0.663,3.825,0.0865
"(1.5,50,200)","[3.291593743226151, 3.4446600534155745, 3.3548522310502586, 3.534428246899774, 3.5040372562295103]","[13.876609422436642, 15.006725947961845, 14.196373559930647, 15.460453435929871, 15.288490292906804]","[3.725132134896243, 3.8738515650398693, 3.7678075269220757, 3.9319783107145785, 3.9100499092603416]",3.4259,0.0909,14.7657,0.6211,3.8418,0.0811
"(1.5,50,400)","[3.5569846861192054, 3.549199018572776, 3.3766972363452705, 3.6231842119658837, 3.370180489238892]","[16.07762949541853, 15.439670229503363, 14.57315294980657, 16.187550499848918, 14.413767514515836]","[4.009691945202091, 3.9293345784627913, 3.8174799213364006, 4.023375510668736, 3.7965467881373245]",3.4952,0.1027,15.3384,0.7373,3.9153,0.0943
"(1.5,100,50)","[3.1454226458769523, 3.0092972707086627, 3.2961553996172435, 3.126714155581496, 3.0757087845869044]","[13.28626971043202, 11.693306414320649, 13.75660901621602, 11.895360680998659, 12.16744996237514]","[3.645033567805929, 3.419547691482113, 3.708990296053094, 3.448965160885024, 3.4881872028856393]",3.1307,0.0953,12.5598,0.8132,3.5421,0.1141
"(1.5,100,150)","[3.4376458810100905, 3.4505791183554715, 3.552395910227581, 3.2913175799651144, 3.4146899893814773]","[14.84561435032314, 15.028831240748529, 15.85937019665464, 13.577867168650107, 15.00028800520451]","[3.853000694306081, 3.8767036565552093, 3.9823824774442045, 3.6848157577618594, 3.873020527340968]",3.4293,0.0836,14.8624,0.7336,3.854,0.0959
"(1.5,100,200)","[3.4422322132406187, 3.471723172514443, 3.430845682587288, 3.346768399605983, 3.5189799169833966]","[15.099090738626966, 15.177930642157033, 15.143456203770958, 14.475718163538236, 15.217154162974726]","[3.8857548479834607, 3.8958863743899195, 3.891459392537838, 3.804696855669087, 3.90091709255333]",3.4421,0.0566,15.0227,0.2762,3.8757,0.0359
"(1.5,100,400)","[3.4499352756500086, 3.434660692516003, 3.498575544378559, 3.5063489704016106, 3.5212903149227395]","[14.856274428065442, 15.012867330493412, 15.303255856701325, 15.307163823839483, 15.56721820237274]","[3.8543837935609684, 3.874644155337805, 3.9119376089990654, 3.9124370696331314, 3.945531422048586]",3.4822,0.0337,15.2094,0.2489,3.8998,0.0319
