latitude,longitude,co,no,no2,o3,so2,pm2_5,pm10,nh3
-0.2456647135175879,51.46175340180904,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.46250717065327,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.46326093949749,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.46401470834171,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.46476847718593,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.46552224603015,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.46627601487437,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.467029783718594,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.467783552562814,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.468537321407034,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.469291090251254,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.470044859095474,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.47079862793969,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.47155239678392,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.47230616562814,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.47305993447236,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.47381370331658,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.4745674721608,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.47532124100503,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.47607500984925,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.476828778693466,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.477582547537686,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.478336316381906,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.479090085226126,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.47984385407035,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.48059762291457,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.48135139175879,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.48210516060301,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.48285892944723,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.2456647135175879,51.48361269829145,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
